ID,Date,Time,LT[s],Lat,Lon,H_alt[m],CPS,K[%],d_K[%],eU[ppm],d_eU[ppm],eTh[ppm],d_eTh[ppm],137-Cs[Bq/m2],d_137-Cs[Bq/m2],ATOT[Bq/kg],d_ATOT[Bq/kg],D_eff[nSv/h],d_D_eff[nSv/h]
1,17/10/2024,09:55:09,19.731,45.647343,13.853967,6.9,26.91,0.63,0.11,3.97,2.03,12.36,4.39,MDA,MDA,297.58,46.17,42.87,11.12
2,17/10/2024,09:55:29,19.79,45.647345,13.853965,6.9,27.09,1.31,0.23,3.54,1.81,4.37,1.55,2774.86,730.22,470.94,74.68,34.48,7.98
3,17/10/2024,09:55:49,19.73,45.6474,13.853947,6.9,31.38,1.33,0.23,3.67,1.88,10.01,3.55,MDA,MDA,501.47,77.11,43.97,9.89
4,17/10/2024,09:56:09,19.71,45.647483,13.853918,6.9,30.08,0.8,0.14,4.23,2.16,12.88,4.58,MDA,MDA,354.88,54.3,46.32,11.75
5,17/10/2024,09:56:29,19.74,45.647577,13.853888,7,25.99,1.01,0.17,5.04,2.58,5.73,2.03,MDA,MDA,400.51,63.79,39.17,10.99
6,17/10/2024,09:56:49,19.72,45.647663,13.853858,7,29.37,0.78,0.14,3.26,1.67,9.9,3.52,MDA,MDA,326.13,49.46,37.19,9.08
7,17/10/2024,09:57:09,19.7,45.647722,13.853895,6.9,26.54,1.19,0.21,1.89,0.96,13.21,4.69,MDA,MDA,450.14,68.58,41.1,9.13
8,17/10/2024,09:57:29,19.75,45.647707,13.85398,7.1,27.19,0.97,0.17,3.33,1.7,12.21,4.33,MDA,MDA,395.54,59.56,43.14,10.19
9,17/10/2024,09:57:49,19.8,45.647663,13.853907,6.9,28.89,1.25,0.22,4.97,2.54,7.54,2.67,MDA,MDA,482.87,75.43,44.2,11.3
10,17/10/2024,09:58:09,19.96,45.647628,13.853788,7.1,26.2,0.68,0.12,8.01,4.08,MDA,MDA,MDA,MDA,312.82,62.53,38.25,16.35
11,17/10/2024,09:58:29,19.84,45.647593,13.853675,7,27.87,0.87,0.15,4.12,2.11,10.65,3.77,MDA,MDA,366.05,55.92,42.68,10.7
12,17/10/2024,09:58:49,19.82,45.647557,13.85355,7,27.25,1.28,0.22,2.77,1.41,6.59,2.34,MDA,MDA,460.02,71.94,34.02,7.21
13,17/10/2024,09:59:09,19.83,45.647518,13.853433,7,27.98,1.02,0.18,2.8,1.43,13.49,4.78,MDA,MDA,407.78,61.07,43.63,10.12
14,17/10/2024,09:59:29,19.69,45.647468,13.853327,7,27.12,1.21,0.21,4.79,2.45,MDA,MDA,MDA,MDA,439.37,72.63,30.21,9.97
15,17/10/2024,09:59:49,19.76,45.64742,13.853223,7,25.4,1.28,0.22,5.42,2.77,MDA,MDA,MDA,MDA,468.86,77.65,33.37,11.25
16,17/10/2024,10:00:09,19.83,45.64737,13.853118,7,26.07,1.27,0.22,2.42,1.23,10.39,3.68,MDA,MDA,471.05,72.34,39.14,8.27
17,17/10/2024,10:00:29,19.65,45.647362,13.853143,7,27.84,1.23,0.21,5.71,2.93,4.4,1.56,MDA,MDA,474.89,76.54,41.64,12.15
18,17/10/2024,10:00:49,19.75,45.647395,13.853258,7.1,26.89,0.71,0.12,4.39,2.25,6.71,2.38,MDA,MDA,305.14,48.67,35.6,9.93
19,17/10/2024,10:01:09,19.72,45.64743,13.853377,6.8,26.72,1.3,0.22,4.69,2.4,4.88,1.73,MDA,MDA,483.57,76.74,38.97,10.25
20,17/10/2024,10:01:29,19.8,45.647467,13.8535,7,25.46,0.8,0.14,MDA,MDA,17.54,6.22,MDA,MDA,320.3,50.01,37.37,10.75
21,17/10/2024,10:01:49,19.71,45.647502,13.853617,6.9,26.73,0.57,0.1,5.25,2.68,9.36,3.32,MDA,MDA,280.46,47.25,42.21,12.18
22,17/10/2024,10:02:09,19.89,45.647537,13.853735,7,29.07,MDA,MDA,3.39,1.73,12.74,4.51,MDA,MDA,93.6,28.14,35.41,10.38
23,17/10/2024,10:02:29,19.75,45.647572,13.85385,7,28.7,0.9,0.16,4.94,2.53,4.83,1.71,MDA,MDA,363.12,58.5,36.26,10.6
24,17/10/2024,10:02:49,19.61,45.647607,13.853968,6.9,26.57,1,0.17,5.82,2.98,4.05,1.44,MDA,MDA,402.09,66.1,39.35,12.27
25,17/10/2024,10:03:09,19.69,45.64759,13.854052,7.1,26.97,1.11,0.19,7.41,3.8,MDA,MDA,MDA,MDA,440.48,76.6,39.79,15.26
26,17/10/2024,10:03:29,19.71,45.647547,13.853973,7,27.64,0.91,0.16,3.35,1.72,10.24,3.64,MDA,MDA,367.16,55.68,39.26,9.38
27,17/10/2024,10:03:49,19.77,45.647512,13.853858,7,25.03,1.18,0.2,4.67,2.39,4.47,1.58,MDA,MDA,444.29,70.66,37.07,10.09
28,17/10/2024,10:04:09,19.75,45.647475,13.853735,7,25.93,0.72,0.12,2.61,1.34,14.48,5.14,MDA,MDA,315.02,47.09,41.81,10.37
29,17/10/2024,10:04:29,19.82,45.64744,13.853615,7,25.93,1,0.17,4.13,2.11,8.71,3.09,MDA,MDA,400.18,61.57,40.61,10.08
30,17/10/2024,10:04:49,19.73,45.647407,13.853502,7,25.13,0.65,0.11,4.18,2.14,5.39,1.91,MDA,MDA,278.03,44.91,31.91,9.21
31,17/10/2024,10:05:09,19.73,45.647372,13.853382,7,26.46,1.08,0.19,3.16,1.61,11.54,4.1,MDA,MDA,424.64,64.28,42.3,9.69
32,17/10/2024,10:05:29,19.83,45.647335,13.853265,7,28.55,1.24,0.22,4.55,2.32,9.01,3.19,MDA,MDA,482.34,74.47,45.01,10.96
33,17/10/2024,10:05:49,19.89,45.647302,13.853147,7.1,30.06,0.74,0.13,1.97,1.01,15.75,5.57,MDA,MDA,321.35,47.88,41.72,10.44
34,17/10/2024,10:06:09,19.81,45.647267,13.853032,7,29.13,1.04,0.18,2.04,1.04,17.98,6.37,MDA,MDA,424.42,63.48,48.55,11.83
35,17/10/2024,10:06:29,19.82,45.647197,13.853005,7,29.72,1.37,0.24,4.23,2.16,9.31,3.3,MDA,MDA,520.34,80.31,45.45,10.55
36,17/10/2024,10:06:49,19.81,45.647218,13.853125,7,26.51,0.76,0.13,3.86,1.97,11.47,4.07,MDA,MDA,333.47,50.83,42.08,10.59
37,17/10/2024,10:07:09,19.86,45.647253,13.853243,7,29.16,0.89,0.15,2.71,1.39,16.43,5.82,MDA,MDA,378.32,56.29,47.16,11.5
38,17/10/2024,10:07:29,19.82,45.647288,13.853357,7.1,26.53,0.89,0.15,5.32,2.72,5.08,1.8,MDA,MDA,364.31,59.14,38.08,11.37
39,17/10/2024,10:07:49,19.74,45.647323,13.853475,7,26.8,0.55,0.1,6.31,3.23,4.35,1.55,MDA,MDA,268.35,50.27,37.72,13.19
40,17/10/2024,10:08:09,19.69,45.647358,13.853592,5.3,25.7,0.63,0.11,5.11,2.61,7.82,2.78,MDA,MDA,291.41,48.32,39.57,11.52
41,17/10/2024,10:08:29,19.74,45.647392,13.85371,7,27.4,1.37,0.24,4.29,2.19,6.37,2.26,MDA,MDA,506.75,79.55,40.56,9.83
42,17/10/2024,10:08:49,19.79,45.647427,13.853827,7,30.37,0.64,0.11,9.23,4.72,MDA,MDA,MDA,MDA,315.19,67.89,42.73,18.86
43,17/10/2024,10:09:09,19.73,45.647465,13.85395,7,29.5,1.17,0.2,5.05,2.58,7.89,2.8,MDA,MDA,461.67,72.17,44.41,11.53
44,17/10/2024,10:09:29,19.81,45.647498,13.854067,7,27.2,1.24,0.22,6.79,3.47,MDA,MDA,MDA,MDA,472.28,79.78,38.46,14
45,17/10/2024,10:09:49,19.81,45.647458,13.854133,7,27.77,0.62,0.11,4.31,2.2,8.89,3.15,MDA,MDA,284.38,45.22,38.15,10.37
46,17/10/2024,10:10:09,19.79,45.647423,13.85402,7,28.24,1.17,0.2,5.69,2.91,4.46,1.58,MDA,MDA,455.12,73.29,41.1,12.07
47,17/10/2024,10:10:29,19.8,45.647388,13.853902,7,26.32,0.54,0.09,6.16,3.15,6.29,2.23,MDA,MDA,269.8,49.44,40.32,13.18
48,17/10/2024,10:10:49,19.72,45.647355,13.853787,7,25.31,1.04,0.18,4.9,2.51,5.02,1.78,MDA,MDA,407.53,65,37.71,10.6
49,17/10/2024,10:11:09,19.64,45.647318,13.853663,7,24.74,0.85,0.15,3.36,1.72,10.52,3.74,MDA,MDA,350.51,53.15,39.26,9.51
50,17/10/2024,10:11:29,19.66,45.647282,13.853545,7,24.73,0.97,0.17,4.42,2.26,6.75,2.4,MDA,MDA,385.6,60.49,38.08,10.05
51,17/10/2024,10:11:49,19.89,45.647288,13.853603,14.3,21.37,1.3,0.22,5.99,3.05,MDA,MDA,MDA,MDA,479.44,79.66,35.75,12.37
